[23:28:33.870] PLAYER COLLIDER: Position={-1694.4587496392903 -1245.5776667628559}, Radius=15.5, Velocity=0, Rotation=0
[23:28:33.871] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1245.186931762856}, Size=35.33333333333333x26.666666666666664, Velocity=0, Rotation=0
[23:28:33.871] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1245.5776667628559}, Size=35.33333333333333x26.666666666666664, Velocity=0, Rotation=0
[23:28:33.871] PLAYER COLLIDER: Position={-1694.4587496392903 -1245.186931762856}, Radius=15.5, Velocity=0, Rotation=0
[23:28:34.012] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1252.8669317628558}, Size=35.33333333333333x26.666666666666664, Velocity=1.6800000000000002, Rotation=0
[23:28:34.013] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1245.186931762856}, Size=35.33333333333333x26.666666666666664, Velocity=1.6800000000000002, Rotation=0
[23:28:34.013] PLAYER COLLIDER: Position={-1694.4587496392903 -1252.8669317628558}, Radius=15.5, Velocity=1.6800000000000002, Rotation=0
[23:28:34.035] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1254.3757482506771}, Size=35.33333333333333x26.666666666666664, Velocity=1.494769242624, Rotation=0
[23:28:34.036] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1252.8669317628558}, Size=35.33333333333333x26.666666666666664, Velocity=1.494769242624, Rotation=0
[23:28:34.036] PLAYER COLLIDER: Position={-1694.4587496392903 -1254.3757482506771}, Radius=15.5, Velocity=1.494769242624, Rotation=0
[23:28:34.053] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1255.6871348266282}, Size=35.33333333333333x26.666666666666664, Velocity=1.6615278418227515, Rotation=0
[23:28:34.053] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1254.3757482506771}, Size=35.33333333333333x26.666666666666664, Velocity=1.6615278418227515, Rotation=0
[23:28:34.053] PLAYER COLLIDER: Position={-1694.4587496392903 -1255.6871348266282}, Radius=15.5, Velocity=1.6615278418227515, Rotation=0
[23:28:34.069] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1257.0326329958054}, Size=35.33333333333333x26.666666666666664, Velocity=1.802616236938466, Rotation=0
[23:28:34.069] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1255.6871348266282}, Size=35.33333333333333x26.666666666666664, Velocity=1.802616236938466, Rotation=0
[23:28:34.069] PLAYER COLLIDER: Position={-1694.4587496392903 -1257.0326329958054}, Radius=15.5, Velocity=1.802616236938466, Rotation=0
[23:28:34.086] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1258.6036712426421}, Size=35.33333333333333x26.666666666666664, Velocity=1.9410494250257229, Rotation=0
